column,value,count,freq
sub_grade,C1,118944,0.06628906835614323
sub_grade,B5,115030,0.06410774425786216
sub_grade,B4,109285,0.060905979581156795
sub_grade,C2,104371,0.05816734222322291
sub_grade,C3,103870,0.057888128280136855
sub_grade,C4,103007,0.057407166937056484
sub_grade,B1,102462,0.0571034312105457
sub_grade,B2,100009,0.05573634178461737
sub_grade,B3,99824,0.055633238831581604
sub_grade,C5,94547,0.052692296760393754
sub_grade,A5,85858,0.04784980184727053
sub_grade,A4,76829,0.042817820425865356
sub_grade,A1,76248,0.042494021422007075
sub_grade,D1,62525,0.03484601155979163
sub_grade,A3,60615,0.03378154323385477
sub_grade,A2,58606,0.03266190089521229
sub_grade,D2,55852,0.031127060178128465
sub_grade,D3,49897,0.02780825971689601
sub_grade,D4,42795,0.02385022094684179
sub_grade,D5,36455,0.020316854880643005
sub_grade,E1,24539,0.013675910078620181
sub_grade,E2,21255,0.01184569333392037
sub_grade,E3,19731,0.010996347926209495
sub_grade,E5,17584,0.009799796357734923
sub_grade,E4,16771,0.009346700677637192
sub_grade,F1,9472,0.005278871195431369
sub_grade,F2,6303,0.0035127454755916297
sub_grade,F3,5083,0.0028328232988152078
sub_grade,F4,4056,0.002260462581151777
sub_grade,F5,3654,0.0020364226507713495
sub_grade,G1,2997,0.0016702678391794566
sub_grade,G2,1865,0.0010393892292524813
sub_grade,G3,1511,0.0008421003353353883
sub_grade,G4,1290,0.0007189341049521185
sub_grade,G5,1183,0.0006593015861692683
purpose,debt_consolidation,1003644,0.5593441091709798
purpose,credit_card,412802,0.2300600282111972
purpose,home_improvement,123916,0.06906002988313699
purpose,other,115748,0.06450789517829288
purpose,major_purchase,40617,0.02263639266731798
purpose,medical,22885,0.012754113947154443
purpose,car,18615,0.010374386328436964
purpose,small_business,17675,0.009850511864363328
purpose,vacation,13038,0.0072662502793532716
purpose,moving,12408,0.006915142925772004
purpose,house,11867,0.0066136364522998365
purpose,renewable_energy,1094,0.0006097007060601687
purpose,wedding,12,6.68775911583366e-06
purpose,educational,2,1.11462651930561e-06
addr_state,CA,243073,0.13546780596358626
addr_state,TX,149895,0.0835384710556572
addr_state,NY,146144,0.08144798901869953
addr_state,FL,130348,0.07264466876922382
addr_state,IL,72560,0.04043865012040753
addr_state,NJ,65069,0.03626381649234837
addr_state,PA,60515,0.033725811907889494
addr_state,OH,59894,0.0333797203736451
addr_state,GA,59219,0.03300353392337946
addr_state,NC,50044,0.027890184766064974
addr_state,VA,48730,0.027157875142881188
addr_state,MI,47220,0.02631633212080545
addr_state,AZ,43065,0.024000695526948047
addr_state,MD,43032,0.023982304189379505
addr_state,MA,40711,0.022688780113725344
addr_state,CO,38444,0.021425350954092436
addr_state,WA,36542,0.0203653411342328
addr_state,MN,31359,0.01747678650945231
addr_state,IN,30988,0.01727002329012112
addr_state,TN,29498,0.016439626533238442
addr_state,CT,28580,0.015928012960877168
addr_state,MO,28575,0.0159252263945789
addr_state,NV,26136,0.014565939354285712
addr_state,WI,23965,0.013356012267579471
addr_state,SC,22419,0.012494405968156236
addr_state,AL,21427,0.011941551214580652
addr_state,OR,20839,0.011613851017904802
addr_state,LA,20269,0.011296182459902705
addr_state,KY,17449,0.009724559067681795
addr_state,OK,16573,0.009236352652225936
addr_state,KS,14918,0.008313999207500545
addr_state,AR,13586,0.007571657945643008
addr_state,UT,11564,0.006444770534625037
addr_state,MS,11413,0.006360616232417463
addr_state,NM,9396,0.005236515387697756
addr_state,NH,8910,0.004965661143506493
addr_state,HI,8181,0.004559379777219597
addr_state,RI,7954,0.004432869667278411
addr_state,NE,7805,0.004349829991590143
addr_state,WV,5939,0.0033098834490780087
addr_state,DE,5186,0.0028902265645594466
addr_state,ME,4970,0.002769846900474441
addr_state,MT,4902,0.00273194959881805
addr_state,ID,4296,0.00239421776346845
addr_state,VT,4032,0.0022470870629201097
addr_state,AK,3980,0.002218106773418164
addr_state,DC,3929,0.002189683797175871
addr_state,WY,3620,0.002017473999943154
addr_state,ND,3591,0.0020013119154132226
addr_state,SD,3569,0.001989051023700861
issue_quarter,2016Q1,133887,0.07461700039513511
issue_quarter,2018Q2,130772,0.07288096959131661
issue_quarter,2015Q4,130504,0.07273160963772966
issue_quarter,2018Q4,128412,0.07156571029853599
issue_quarter,2018Q3,128194,0.07144421600793169
issue_quarter,2017Q3,122701,0.06838289427265883
issue_quarter,2017Q4,118648,0.066124103631286
issue_quarter,2015Q3,110489,0.06157698474577877
issue_quarter,2018Q1,107864,0.06011403743919016
issue_quarter,2017Q2,105451,0.05876924054364794
issue_quarter,2016Q4,103546,0.05770755878400934
issue_quarter,2016Q3,99120,0.05524089029678603
issue_quarter,2016Q2,97854,0.05453533171006558
issue_quarter,2017Q1,96779,0.053936219955938815
issue_quarter,2015Q2,95825,0.05340454310623004
issue_quarter,2015Q1,84277,0.046968689583759445
